"Timestamp","1. Sex","2. What is your origin country","3. When you see the Ugandan Flag, what comes to your mind?","4. When you hear about the country Uganda, what comes to your mind?"
"2020/08/28 12:48:57 AM GMT+5:30","Female","Uganda","Beauty","Home"
"2020/08/28 11:35:28 AM GMT+5:30","Female","Uganda...","Nature ,Humanity & brotherhood","Peace and Hospitality"
"2020/08/28 6:35:51 PM GMT+5:30","Female","Uganda","Peace and brotherhood","The pearl of Africa with good nature and friendly people"
"2020/08/28 6:39:37 PM GMT+5:30","Female","Uganda ","Beauty","Pearl of Africa"
"2020/08/28 6:41:17 PM GMT+5:30","Female","Uganda ","For God and my Country ","County with freedom of worship"
"2020/08/28 6:41:40 PM GMT+5:30","Female","Uganda ","For God and my Country ","County with freedom of worship"
"2020/08/28 7:08:04 PM GMT+5:30","Female","Uganda","Nothing really... It's just the Ugandan flag.","Politics, dictatorship."
"2020/08/28 7:35:36 PM GMT+5:30","Female","Uganda","Peace","Pearl of Africa"
"2020/08/28 8:26:42 PM GMT+5:30","Female","Uganda ","Good weather, food ","Good people "
"2020/08/28 8:57:47 PM GMT+5:30","Female","Uganda","Peace ","Home "
"2020/08/28 9:02:58 PM GMT+5:30","Female","India","Black people in colorful traditional wear","Nature place, tribes, culture, tribal ornaments"
"2020/08/28 9:15:39 PM GMT+5:30","Female","Uganda","Happy people","God's chosen country"
"2020/08/28 9:19:13 PM GMT+5:30","Female","Uganda","Everything I was taught about it in school. Black for black skin colour, red for brotherhood and yellow for sun","Poor economy"
"2020/08/29 2:32:21 AM GMT+5:30","Female","Uganda","The Pearl of Africa","Loving country"
"2020/08/29 3:53:55 AM GMT+5:30","Male","Uganda ","Homeland ","Some forms of uncertainty "
"2020/08/29 10:52:10 AM GMT+5:30","Female","Botswana ","Too many colours ","I don't know much about it "
"2020/08/29 12:57:49 PM GMT+5:30","Female","Uganda ","Niicee","Uganda zaabu"
"2020/08/29 5:53:40 PM GMT+5:30","Female","Uganda","Politics","Income Inequality, poor polices, corrupt leaders"
"2020/08/29 8:18:06 PM GMT+5:30","Male","Uganda","I remember pearl of Africa","Welcoming country"
"2020/08/29 10:10:43 PM GMT+5:30","Male","Uganda","So sorry for my motherland full of non functional systems","Pearl of Africa ,corrupt nation"
"2020/08/29 11:44:35 PM GMT+5:30","Female","Uganda","The bright light shines on Uganda ","it has not yet uncovered its potential"
"2020/08/29 11:58:48 PM GMT+5:30","Male","Uganda","Brotherhood ","Peace"
"2020/08/30 12:50:51 AM GMT+5:30","Male","Uganda","I remember that Uganda is an independent country","That Uganda is Pearl of Africa blessed with a variety of resources"
"2020/08/30 1:21:52 AM GMT+5:30","Female","Uganda","The Crested Crane","Corruption "
"2020/08/30 2:05:14 AM GMT+5:30","Female","Uganda ","Good weather, food ","Good people "
"2020/08/30 7:33:25 PM GMT+5:30","Male","Uganda","Peace and unity","Welcoming country"
"2020/09/04 5:36:47 PM GMT+5:30","Female","Uganda ","Joy, peace","under developed "
"2020/09/11 12:34:53 PM GMT+5:30","Female","Uganda","Brotherhood","Hospitality..from SabanoðŸ¤£"
"2020/09/11 12:35:53 PM GMT+5:30","Female","Uganda","Peace","Land full of wonders "
"2020/09/11 2:27:52 PM GMT+5:30","Female","Uganda","Peacefully country","Pearl of Africa"
"2020/09/11 9:28:37 PM GMT+5:30","Female","Uganda ","Beauty","Pearl of Africa"
"2020/09/14 1:04:25 AM GMT+5:30","Female","Uganda ","Beauty","Pearl of Africa"